iteration,temperature,dsp,bram,lut,ff,violation
0,10.0,2811,3802,1437225,1812064,True
1,9.95,3472,5236,2487458,3271817,True
2,9.90025,3589,4504,1128378,1340978,True
3,9.85074875,37415,39347,7413136,9644455,True
4,9.801495006249999,11830,13473,5045410,6677237,True
5,9.75248753121875,2720,3554,1375944,1820402,True
6,9.703725093562655,4668,6270,2450573,3159565,True
7,9.65520646809484,10285,11931,3252742,4288229,True
8,9.606930435754366,38515,39463,4966125,6116402,True
9,9.558895783575593,1002,1832,753830,995020,True
10,9.511101304657716,1155,1884,1272671,1549916,True
11,9.463545798134428,2705,3421,2842985,3752677,True
12,9.416228069143756,12591,13419,4224419,5644282,True
13,9.369146928798036,19082,20020,2657911,3162414,True
14,9.322301194154047,3748,4370,3806889,5133800,True
15,9.275689688183277,2412,3613,1684888,2147399,True
16,9.22931123974236,1142,1962,1448389,1920561,True
17,9.183164683543648,3259,4433,2365092,2839868,True
18,9.13724886012593,1020,1901,549232,670003,True
19,9.0915626158253,14260,16200,4776141,6101990,True
20,9.046104802746173,691,1283,629258,809509,True
21,9.000874278732443,734,1886,982769,1238296,True
22,8.95586990733878,3470,4305,2367924,3115777,True
23,8.911090557802085,323,1104,413394,519317,True
24,8.866535105013075,530,1127,798349,1035687,True
25,8.822202429488009,484,1473,818321,1067915,True
26,8.778091417340569,5236,7166,2622652,3437134,True
27,8.734200960253867,5276,6877,4573565,5806885,True
28,8.690529955452599,1280,2525,894557,1140733,True
29,8.647077305675335,3607,4446,2591209,3426251,True
30,8.603841919146959,1110,2266,1162502,1530269,True
31,8.560822709551223,1667,3031,1574155,2029562,True
32,8.518018596003467,3125,3978,1338727,1733981,True
33,8.47542850302345,152280,154723,12530312,14509840,True
34,8.433051360508331,2732,3612,2274569,2972013,True
35,8.390886103705789,2159,3457,2480840,3130938,True
36,8.34893167318726,5552,6510,2634841,3405098,True
37,8.307187014821324,855,1619,823568,1066496,True
38,8.265651079747217,14235,15160,728742,831715,True
39,8.22432282434848,2046,2824,1381492,1756678,True
40,8.183201210226738,5073,5738,1127401,1382445,True
41,8.142285204175604,5492,6717,4160246,5107212,True
42,8.101573778154727,243,892,442410,563699,True
43,8.061065909263952,2056,3363,1973490,2577880,True
