iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,14,1.1428571428571428,89,0,11,0
1,13,1.2307692307692308,93,0,7,0
2,11,1.4545454545454546,89,0,11,0
3,13,1.2307692307692308,92,0,8,0
4,16,1.0,95,0,5,0
5,10,1.6,91,0,9,0
6,8,2.0,88,0,12,0
7,12,1.3333333333333333,89,0,11,0
8,11,1.4545454545454546,90,0,10,0
9,9,1.7777777777777777,92,0,8,0
10,12,1.3333333333333333,91,0,9,0
11,14,1.1428571428571428,87,0,13,0
12,12,1.3333333333333333,88,0,12,0
13,9,1.7777777777777777,90,0,10,0
14,14,1.1428571428571428,91,0,9,0
15,10,1.6,87,0,13,0
16,12,1.3333333333333333,91,0,9,0
17,12,1.3333333333333333,91,0,9,0
18,10,1.6,91,0,9,0
19,11,1.4545454545454546,89,0,11,0
20,13,1.2307692307692308,94,0,6,0
21,12,1.3333333333333333,86,0,14,0
22,13,1.2307692307692308,89,0,11,0
23,11,1.4545454545454546,94,0,6,0
24,12,1.3333333333333333,85,0,15,0
25,13,1.2307692307692308,88,0,12,0
26,11,1.4545454545454546,89,0,11,0
27,11,1.4545454545454546,86,0,14,0
28,12,1.3333333333333333,89,0,11,0
29,13,1.2307692307692308,89,0,11,0
30,11,1.4545454545454546,92,0,8,0
31,10,1.6,92,0,8,0
32,13,1.2307692307692308,93,0,7,0
33,13,1.2307692307692308,89,0,11,0
34,10,1.6,88,0,12,0
35,13,1.2307692307692308,93,93,7,7
36,10,1.6,92,0,8,0
37,7,2.2857142857142856,89,0,11,0
38,13,1.2307692307692308,95,0,5,0
39,13,1.2307692307692308,96,0,4,0
40,8,2.0,89,0,11,0
41,10,1.6,91,0,9,0
42,12,1.3333333333333333,89,0,11,0
43,11,1.4545454545454546,90,0,10,0
44,12,1.3333333333333333,90,0,10,0
45,11,1.4545454545454546,88,0,12,0
46,11,1.4545454545454546,94,0,6,0
47,12,1.3333333333333333,91,0,9,0
48,9,1.7777777777777777,91,0,9,0
49,10,1.6,88,0,12,0
50,7,2.2857142857142856,90,0,10,0
51,10,1.6,93,0,7,0
52,10,1.6,87,0,13,0
53,10,1.6,91,0,9,0
54,11,1.4545454545454546,92,0,8,0
55,10,1.6,94,0,6,0
56,8,2.0,93,0,7,0
57,10,1.6,89,0,11,0
58,12,1.3333333333333333,88,0,12,0
59,10,1.6,86,0,14,0
60,6,2.6666666666666665,88,0,12,0
61,8,2.0,89,0,11,0
62,11,1.4545454545454546,92,0,8,0
63,9,1.7777777777777777,91,0,9,0
64,9,1.7777777777777777,89,0,11,0
65,5,3.2,87,0,13,0
66,9,1.7777777777777777,93,0,7,0
67,9,1.7777777777777777,91,0,9,0
68,15,1.0666666666666667,96,0,4,0
69,7,2.2857142857142856,88,0,12,0
70,7,2.2857142857142856,86,0,14,0
71,11,1.4545454545454546,92,0,8,0
72,13,1.2307692307692308,93,0,7,0
73,8,2.0,90,0,10,0
74,8,2.0,93,0,7,0
75,9,1.7777777777777777,91,0,9,0
76,10,1.6,91,0,9,0
77,9,1.7777777777777777,93,0,7,0
78,5,3.2,85,0,15,0
79,11,1.4545454545454546,91,0,9,0
80,10,1.6,90,0,10,0
81,9,1.7777777777777777,92,0,8,0
82,7,2.2857142857142856,92,0,8,0
83,9,1.7777777777777777,91,0,9,0
84,9,1.7777777777777777,88,0,12,0
85,11,1.4545454545454546,88,0,12,0
86,9,1.7777777777777777,91,0,9,0
87,11,1.4545454545454546,91,0,9,0
