iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,19,1.105263157894737,91,0,9,0
1,13,1.6153846153846154,89,0,11,0
2,20,1.05,94,0,6,0
3,18,1.1666666666666667,95,0,5,0
4,18,1.1666666666666667,92,0,8,0
5,15,1.4,89,0,11,0
6,19,1.105263157894737,92,0,8,0
7,16,1.3125,90,0,10,0
8,19,1.105263157894737,92,0,8,0
9,17,1.2352941176470589,90,0,10,0
10,19,1.105263157894737,94,0,6,0
11,17,1.2352941176470589,92,0,8,0
12,16,1.3125,92,0,8,0
13,14,1.5,93,0,7,0
14,19,1.105263157894737,93,0,7,0
15,17,1.2352941176470589,91,0,9,0
16,13,1.6153846153846154,89,0,11,0
17,15,1.4,90,0,10,0
18,16,1.3125,91,0,9,0
19,15,1.4,88,0,12,0
20,16,1.3125,90,0,10,0
21,18,1.1666666666666667,93,0,7,0
22,14,1.5,87,0,13,0
23,17,1.2352941176470589,88,0,12,0
24,13,1.6153846153846154,87,0,13,0
25,21,1.0,90,0,10,0
26,19,1.105263157894737,93,0,7,0
27,16,1.3125,89,0,11,0
28,18,1.1666666666666667,91,0,9,0
29,20,1.05,91,0,9,0
30,18,1.1666666666666667,89,0,11,0
31,20,1.05,97,0,3,0
32,14,1.5,89,0,11,0
33,15,1.4,87,0,13,0
34,18,1.1666666666666667,85,0,15,0
35,18,1.1666666666666667,91,0,9,0
36,18,1.1666666666666667,94,0,6,0
37,18,1.1666666666666667,91,0,9,0
38,16,1.3125,91,0,9,0
39,12,1.75,87,0,13,0
40,19,1.105263157894737,93,0,7,0
41,16,1.3125,88,0,12,0
42,18,1.1666666666666667,89,0,11,0
43,16,1.3125,88,0,12,0
44,15,1.4,89,0,11,0
45,16,1.3125,86,0,14,0
46,13,1.6153846153846154,83,0,17,0
47,17,1.2352941176470589,95,0,5,0
48,18,1.1666666666666667,91,0,9,0
49,19,1.105263157894737,88,0,12,0
50,17,1.2352941176470589,85,0,15,0
51,19,1.105263157894737,92,0,8,0
52,19,1.105263157894737,95,0,5,0
53,19,1.105263157894737,95,0,5,0
54,11,1.9090909090909092,85,0,15,0
55,19,1.105263157894737,92,0,8,0
56,18,1.1666666666666667,94,0,6,0
57,17,1.2352941176470589,91,0,9,0
58,15,1.4,87,0,13,0
59,18,1.1666666666666667,92,0,8,0
60,12,1.75,87,0,13,0
61,15,1.4,89,0,11,0
62,14,1.5,85,0,15,0
63,17,1.2352941176470589,92,0,8,0
64,13,1.6153846153846154,90,0,10,0
65,13,1.6153846153846154,85,0,15,0
66,16,1.3125,90,0,10,0
67,16,1.3125,93,0,7,0
68,16,1.3125,88,0,12,0
69,18,1.1666666666666667,92,0,8,0
70,16,1.3125,84,0,16,0
71,18,1.1666666666666667,95,0,5,0
72,16,1.3125,90,0,10,0
73,17,1.2352941176470589,86,0,14,0
74,17,1.2352941176470589,86,0,14,0
75,18,1.1666666666666667,94,0,6,0
76,15,1.4,86,0,14,0
77,20,1.05,91,0,9,0
78,20,1.05,92,0,8,0
79,13,1.6153846153846154,86,0,14,0
80,17,1.2352941176470589,93,0,7,0
81,16,1.3125,89,0,11,0
82,20,1.05,88,0,12,0
83,19,1.105263157894737,93,0,7,0
84,17,1.2352941176470589,90,0,10,0
85,17,1.2352941176470589,88,0,12,0
86,18,1.1666666666666667,93,0,7,0
87,17,1.2352941176470589,91,0,9,0
88,17,1.2352941176470589,92,0,8,0
89,16,1.3125,90,0,10,0
90,18,1.1666666666666667,93,0,7,0
91,19,1.105263157894737,90,0,10,0
92,15,1.4,92,0,8,0
93,12,1.75,86,0,14,0
94,21,1.0,92,0,8,0
95,14,1.5,87,0,13,0
96,19,1.105263157894737,90,0,10,0
97,19,1.105263157894737,92,0,8,0
98,14,1.5,85,0,15,0
99,19,1.105263157894737,94,0,6,0
100,17,1.2352941176470589,91,0,9,0
101,20,1.05,95,0,5,0
102,19,1.105263157894737,94,0,6,0
103,13,1.6153846153846154,89,0,11,0
104,16,1.3125,88,0,12,0
105,19,1.105263157894737,92,0,8,0
106,16,1.3125,92,0,8,0
107,18,1.1666666666666667,92,0,8,0
108,17,1.2352941176470589,89,0,11,0
109,15,1.4,87,0,13,0
110,15,1.4,85,0,15,0
111,15,1.4,91,0,9,0
112,12,1.75,85,0,15,0
113,20,1.05,91,0,9,0
114,14,1.5,87,0,13,0
115,18,1.1666666666666667,94,0,6,0
116,16,1.3125,86,0,14,0
117,17,1.2352941176470589,87,0,13,0
118,16,1.3125,87,0,13,0
119,16,1.3125,90,0,10,0
120,14,1.5,88,0,12,0
121,16,1.3125,93,0,7,0
122,20,1.05,93,0,7,0
123,14,1.5,87,0,13,0
124,16,1.3125,90,0,10,0
125,20,1.05,94,0,6,0
126,18,1.1666666666666667,93,0,7,0
127,19,1.105263157894737,93,0,7,0
128,18,1.1666666666666667,91,0,9,0
129,13,1.6153846153846154,82,0,18,0
130,15,1.4,89,0,11,0
131,18,1.1666666666666667,91,0,9,0
132,16,1.3125,89,0,11,0
133,14,1.5,92,0,8,0
134,18,1.1666666666666667,91,0,9,0
135,14,1.5,88,0,12,0
136,19,1.105263157894737,90,0,10,0
137,18,1.1666666666666667,89,0,11,0
138,19,1.105263157894737,94,0,6,0
139,18,1.1666666666666667,91,0,9,0
140,16,1.3125,89,0,11,0
141,14,1.5,93,0,7,0
142,15,1.4,88,0,12,0
143,18,1.1666666666666667,96,0,4,0
144,19,1.105263157894737,94,0,6,0
145,13,1.6153846153846154,86,0,14,0
146,19,1.105263157894737,92,0,8,0
147,18,1.1666666666666667,92,0,8,0
148,14,1.5,89,0,11,0
149,13,1.6153846153846154,85,0,15,0
150,18,1.1666666666666667,91,0,9,0
151,14,1.5,90,0,10,0
152,17,1.2352941176470589,90,0,10,0
153,19,1.105263157894737,91,0,9,0
154,16,1.3125,86,0,14,0
155,18,1.1666666666666667,90,0,10,0
156,19,1.105263157894737,93,0,7,0
157,16,1.3125,85,0,15,0
158,18,1.1666666666666667,91,0,9,0
159,17,1.2352941176470589,88,0,12,0
160,15,1.4,91,0,9,0
161,15,1.4,93,0,7,0
162,14,1.5,85,0,15,0
163,17,1.2352941176470589,82,0,18,0
164,9,2.3333333333333335,83,0,17,0
165,15,1.4,88,0,12,0
166,16,1.3125,85,0,15,0
167,17,1.2352941176470589,90,0,10,0
168,15,1.4,89,0,11,0
169,18,1.1666666666666667,92,0,8,0
170,17,1.2352941176470589,94,0,6,0
171,19,1.105263157894737,91,0,9,0
172,16,1.3125,90,0,10,0
173,17,1.2352941176470589,88,0,12,0
174,20,1.05,94,0,6,0
175,15,1.4,88,0,12,0
176,12,1.75,88,0,12,0
177,19,1.105263157894737,87,0,13,0
178,16,1.3125,89,0,11,0
179,14,1.5,89,0,11,0
180,19,1.105263157894737,92,0,8,0
181,15,1.4,89,0,11,0
182,16,1.3125,91,0,9,0
183,14,1.5,87,0,13,0
