iteration,temperature,dsp,bram,lut,ff,violation
0,50.0,5615,14051,5709804,7270848,True
1,49.75,4491,10775,4306015,5425308,True
2,49.50125,125674,130996,79354430,92724247,True
3,49.25374375,2871,9761,6918708,8923959,True
4,49.007475031249996,27598,34046,29012986,35662427,True
5,48.762437656093745,80394,86258,117207990,136218134,True
6,48.51862546781327,11371,17378,21647454,25618037,True
7,48.27603234047421,9755,15053,5145081,6492973,True
8,48.034652178771836,2134,7584,2919761,3674152,True
9,47.794478917877974,38791,46738,14499500,18029053,True
10,47.555506523288585,19828,25093,16683322,21001813,True
11,47.317728990672144,3502,12663,7780218,9665827,True
12,47.08114034571879,2487,8777,6071545,7803542,True
13,46.84573464399019,12802,19234,30115609,39191018,True
14,46.61150597077024,29369,35181,19034500,24304472,True
15,46.37844844091639,3093,9401,8900818,11263379,True
16,46.14655619871181,25382,30615,19611353,24537616,True
17,45.91582341771825,935,7192,1817136,2288387,True
18,45.68624430062966,18070,24328,55662070,71145976,True
19,45.45781307912651,3002,8325,6463714,8129315,True
20,45.23052401373088,36019,45410,78040258,95382366,True
21,45.004371393662225,80304,85924,33684240,42276248,True
22,44.779349536693914,5181,11769,10397038,13372417,True
23,44.555452789010445,77207,85212,135669224,159188560,True
24,44.33267552506539,1161,8599,5939507,7703761,True
25,44.111012147440064,945,7017,3014937,3765095,True
26,43.89045708670287,71793,79319,124754642,144077307,True
27,43.671004801269355,100194,110091,199635866,239862715,True
28,43.452649777263005,9803,16669,11596744,14465681,True
29,43.23538652837669,18994,24917,14479886,17784812,True
30,43.0192095957348,28269,33857,59947170,74776793,True
31,42.804113547756124,6416,13674,12594366,15380183,True
32,42.590092980017346,8186,12932,7604025,9175840,True
33,42.37714251511726,4831,10095,14078447,17970450,True
34,42.16525680254167,9585,16100,17824413,21989962,True
35,41.95443051852896,13079,17996,22570389,26203696,True
36,41.74465836593632,85604,92503,42886290,50715829,True
37,41.53593507410663,36154,45488,53656187,62912371,True
38,41.3282553987361,6223,13187,13591033,16570860,True
39,41.12161412174242,4871,12621,9655620,11404837,True
40,40.91600605113371,4237,11024,9336187,11528174,True
41,40.71142602087804,13909,20260,43213804,55412118,True
42,40.50786889077364,2566,8847,1984155,2503343,True
43,40.305329546319776,5853,13354,5129188,6541621,True
44,40.10380289858818,7020,12774,8890616,11035200,True
45,39.90328388409524,14467,21756,7899986,9919709,True
46,39.70376746467476,28350,35467,32301104,40016654,True
47,39.505248627351385,55895,61279,18112208,22375123,True
48,39.30772238421463,49421,56635,43836531,54869023,True
49,39.11118377229356,91829,99635,63373917,76882401,True
50,38.91562785343209,7031,14059,8653115,11119605,True
51,38.721049714164934,9368,14831,28658528,36561087,True
52,38.52744446559411,16094,23450,10247234,12837307,True
53,38.334807243266134,11484,18189,28088603,34014062,True
54,38.1431332070498,7727,13849,17157305,21837676,True
55,37.95241754101455,4704,9787,8622940,10150022,True
56,37.76265545330948,10446,16133,8249071,10620437,True
57,37.57384217604293,3413,14013,6791037,8651437,True
58,37.385972965162715,4148,11631,5175574,6645430,True
59,37.1990431003369,25680,30236,15353825,19390372,True
