iteration,temperature,dsp,bram,lut,ff,violation
0,20.0,1913,5001,2288799,2800902,True
1,19.9,9463,11467,2325985,2863136,True
2,19.8005,5533,8943,4534892,5829013,True
3,19.7014975,2793,5026,1935615,2458694,True
4,19.602990012499998,11615,13960,2674015,3282599,True
5,19.5049750624375,2765,5319,1927363,2473272,True
6,19.40745018712531,41285,44983,8784567,10394187,True
7,19.31041293618968,6275,8485,2016566,2548023,True
8,19.213860871508732,148611,151497,30627879,39474778,True
9,19.117791567151187,2650,4523,1453848,1819430,True
10,19.022202609315432,3538,6345,2809629,3554856,True
11,18.927091596268856,3100,5052,1334378,1613792,True
12,18.83245613828751,3684,5572,3092165,3881977,True
13,18.738293857596073,3904,6827,3683912,4489097,True
14,18.644602388308094,4385,5714,4236213,5436876,True
15,18.551379376366555,2827,7454,5399774,6590797,True
16,18.45862247948472,20648,23189,7254038,9517848,True
17,18.366329367087296,7722,9896,3522607,4405283,True
18,18.27449772025186,99910,103000,46576859,58010468,True
19,18.1831252316506,2143,4337,1119011,1451184,True
20,18.092209605492346,4712,7028,7097507,8263301,True
21,18.001748557464886,16665,19162,19272126,22231990,True
22,17.91173981467756,292,2889,972395,1270633,True
23,17.82218111560417,1749,3527,1433466,1745770,True
24,17.73307021002615,1731,4618,2305138,2833526,True
25,17.644404858976017,5980,8308,4142841,5214996,True
26,17.556182834681138,604,2441,1189171,1516554,True
27,17.468401920507734,1825,3969,1635034,2088379,True
28,17.381059910905197,1351,3078,1961612,2471232,True
29,17.29415461135067,761,2310,528086,691497,True
30,17.207683838293917,17884,21010,21988503,25820974,True
31,17.121645419102446,1657,5222,2392431,3069778,True
32,17.036037192006933,580,2459,880227,1114800,True
33,16.9508570060469,75326,77409,10088297,11673389,True
34,16.866102721016663,2737,5538,5278438,6588951,True
35,16.781772207411578,49855,52988,30196768,38915020,True
36,16.69786334637452,26329,28872,13946583,17152638,True
37,16.614374029642647,773,3208,993057,1261159,True
38,16.531302159494434,16614,18692,16671496,19329324,True
39,16.44864564869696,17811,22167,6904064,8357391,True
40,16.366402420453475,2834,4947,2670763,3232935,True
41,16.284570408351208,172096,174278,24561817,28950206,True
42,16.203147556309453,8100,10385,4305778,5343206,True
43,16.122131818527905,7131,9665,6408403,8453013,True
44,16.041521159435266,8226,9918,5493596,6602456,True
45,15.96131355363809,578,2332,1087553,1390434,True
46,15.8815069858699,1747,4127,3107787,3801605,True
47,15.802099450940549,514,2072,1105745,1367213,True
48,15.723088953685846,5651,8613,7113938,8641150,True
49,15.644473508917416,6132,7968,3001025,3558313,True
50,15.56625114137283,727,2443,1508209,1858196,True
51,15.488419885665966,19001,21687,12658012,15241668,True
52,15.410977786237636,1435,4000,988517,1261910,True
53,15.333922897306447,11152,13252,5319039,6572690,True
54,15.257253282819915,18748,21819,6354867,8238553,True
55,15.180967016405816,1621,3828,2784626,3626918,True
56,15.105062181323786,5965,8664,5667878,7375911,True
57,15.029536870417168,33990,37712,45443803,56494310,True
58,14.954389186065082,8003,10474,8259586,10262643,True
59,14.879617240134756,5431,7981,2869460,3750541,True
60,14.805219153934082,1404,3815,3003523,3682096,True
61,14.731193058164411,22684,25699,10455961,12599896,True
62,14.65753709287359,2952,4801,2467183,3153911,True
63,14.58424940740922,12309,14824,7356448,8905489,True
64,14.511328160372175,3447,5271,1614087,1903914,True
65,14.438771519570315,1951,6100,5446547,7016318,True
66,14.366577661972464,2662,5007,1437332,1800207,True
67,14.294744773662602,11690,16263,10766774,13984935,True
68,14.223271049794288,311,2927,668822,888150,True
69,14.152154694545317,68651,71820,58037896,66955216,True
70,14.081393921072591,9530,12027,11910052,13948320,True
71,14.010986951467228,2001,3662,3474543,4515361,True
72,13.940932016709892,1046,3895,1293251,1585207,True
73,13.871227356626342,7392,9869,3664456,4702096,True
74,13.80187121984321,4250,6422,3822063,4905009,True
75,13.732861863743995,28379,31385,8172793,9824322,True
76,13.664197554425275,5465,7792,6038096,7200682,True
77,13.595876566653148,1653,3275,812228,1005254,True
78,13.527897183819881,297254,300486,33795152,39239654,True
79,13.460257697900781,17160,19579,24696283,30654216,True
80,13.392956409411276,2168,4004,2222508,2756379,True
81,13.32599162736422,1787,3930,2028082,2636260,True
82,13.259361669227399,4467,8358,8571494,10877966,True
83,13.193064860881261,3186,4878,1463924,1839915,True
84,13.127099536576855,8134,12234,12870643,17007670,True
85,13.061464038893972,7907,9868,11554725,14735673,True
86,12.9961567186995,8818,10942,6516904,8061974,True
87,12.931175935106003,699,2902,864117,1150897,True
88,12.866520055430472,9903,13783,4964029,6559514,True
89,12.80218745515332,1340,3801,2460030,2962258,True
90,12.738176517877553,18714,20354,2825913,3290119,True
91,12.674485635288166,6216,8996,3371907,4091325,True
92,12.611113207111725,2072,3959,2778096,3601353,True
93,12.548057641076166,10109,12685,17398059,22228081,True
94,12.485317352870785,9066,10974,9406177,12080524,True
95,12.42289076610643,13677,17513,8163922,10234215,True
96,12.360776312275899,33682,36926,33988906,39508003,True
97,12.29897243071452,975,3577,1104656,1423566,True
98,12.237477568560946,23820,26422,8870445,10626235,True
99,12.17629018071814,2980,5053,5186571,6655001,True
100,12.11540872981455,7371,9884,7305691,8611798,True
101,12.054831686165478,11047,13541,10590092,12419811,True
102,11.994557527734651,13747,16946,6482488,7626531,True
103,11.934584740095978,57308,59424,19883698,23087778,True
104,11.874911816395498,15928,19509,11884821,14919006,True
105,11.81553725731352,12628,16488,17871579,22894896,True
106,11.756459571026953,25075,27302,9928826,11480712,True
107,11.697677273171818,35116,37842,34810878,40286351,True
108,11.63918888680596,6441,8598,3162391,3729102,True
109,11.58099294237193,1898,3951,4888441,6324214,True
110,11.52308797766007,17363,20688,23085699,27895555,True
111,11.46547253777177,2305,4734,2499837,3187067,True
112,11.408145175082911,1889,3232,2122748,2694291,True
113,11.351104449207497,37144,40809,31952892,37161488,True
114,11.29434892696146,35528,38649,29632845,34187296,True
115,11.237877182326653,12052,14637,9588436,11352176,True
116,11.18168779641502,522,4095,2273495,2919821,True
117,11.125779357432945,8393,10449,2918240,3585383,True
118,11.070150460645781,6001,7786,4887188,6326735,True
119,11.014799708342553,1816,3308,1638147,2082092,True
120,10.95972570980084,174,2624,603793,827159,True
121,10.904927081251834,2063,4777,2004866,2532741,True
122,10.850402445845575,18695,21168,17069360,19774734,True
123,10.796150433616347,8067,10914,5501635,7151773,True
124,10.742169681448265,2258,4963,3343713,4274748,True
125,10.688458833041024,8101,10935,7799638,9552048,True
126,10.635016538875819,77385,81164,17810191,22719284,True
127,10.58184145618144,2254,5743,4115148,5341917,True
128,10.528932248900533,1659,3783,2822773,3378340,True
129,10.47628758765603,2031,3671,1345023,1685211,True
130,10.42390614971775,26376,28316,10812467,12634014,True
