iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,17,1.2352941176470589,93,0,7,0
1,21,1.0,93,0,7,0
2,16,1.3125,91,0,9,0
3,16,1.3125,90,0,10,0
4,15,1.4,87,0,13,0
5,19,1.105263157894737,89,0,11,0
6,16,1.3125,87,0,13,0
7,18,1.1666666666666667,90,0,10,0
8,18,1.1666666666666667,94,0,6,0
9,16,1.3125,92,0,8,0
10,15,1.4,88,0,12,0
11,19,1.105263157894737,94,0,6,0
12,14,1.5,92,0,8,0
13,19,1.105263157894737,93,0,7,0
14,17,1.2352941176470589,92,0,8,0
15,17,1.2352941176470589,93,0,7,0
16,15,1.4,89,0,11,0
17,18,1.1666666666666667,92,0,8,0
18,19,1.105263157894737,94,0,6,0
19,15,1.4,92,0,8,0
20,16,1.3125,92,0,8,0
21,15,1.4,91,0,9,0
22,15,1.4,87,0,13,0
23,18,1.1666666666666667,89,0,11,0
24,15,1.4,89,0,11,0
25,14,1.5,87,0,13,0
26,14,1.5,88,0,12,0
27,15,1.4,92,0,8,0
28,17,1.2352941176470589,89,0,11,0
29,18,1.1666666666666667,92,0,8,0
30,16,1.3125,90,0,10,0
31,17,1.2352941176470589,90,0,10,0
32,10,2.1,82,0,18,0
33,15,1.4,89,0,11,0
34,20,1.05,95,0,5,0
35,16,1.3125,87,0,13,0
36,16,1.3125,90,0,10,0
37,16,1.3125,92,0,8,0
38,18,1.1666666666666667,90,0,10,0
39,15,1.4,90,0,10,0
40,18,1.1666666666666667,91,0,9,0
41,17,1.2352941176470589,92,0,8,0
42,15,1.4,85,0,15,0
43,18,1.1666666666666667,90,0,10,0
44,15,1.4,89,0,11,0
45,19,1.105263157894737,91,0,9,0
46,18,1.1666666666666667,91,0,9,0
47,18,1.1666666666666667,92,0,8,0
48,17,1.2352941176470589,90,0,10,0
49,17,1.2352941176470589,90,0,10,0
50,14,1.5,87,0,13,0
51,16,1.3125,89,0,11,0
52,17,1.2352941176470589,92,0,8,0
53,16,1.3125,91,0,9,0
54,17,1.2352941176470589,92,0,8,0
55,14,1.5,87,0,13,0
56,18,1.1666666666666667,91,0,9,0
57,19,1.105263157894737,88,0,12,0
58,14,1.5,87,0,13,0
59,17,1.2352941176470589,96,0,4,0
60,14,1.5,91,0,9,0
61,20,1.05,92,0,8,0
62,19,1.105263157894737,93,0,7,0
63,16,1.3125,92,0,8,0
64,18,1.1666666666666667,87,0,13,0
65,16,1.3125,87,0,13,0
66,19,1.105263157894737,90,0,10,0
67,17,1.2352941176470589,90,0,10,0
