iteration,temperature,dsp,bram,lut,ff,violation
0,10.0,790,2950,1612561,2007399,True
1,9.95,8997,11117,6739880,8349525,True
2,9.90025,2504,3872,2026239,2485970,True
3,9.85074875,9284,10740,5863091,7006226,True
4,9.801495006249999,404,1512,423783,541202,True
5,9.75248753121875,1891,3437,1837563,2288483,True
6,9.703725093562655,565,1665,647536,820055,True
7,9.65520646809484,1977,3723,1061078,1318061,True
8,9.606930435754366,1005,2394,1670101,2179469,True
9,9.558895783575593,9541,12004,3896057,5073854,True
10,9.511101304657716,4593,6218,3993537,5082886,True
11,9.463545798134428,641,1664,1301527,1679956,True
12,9.416228069143756,86675,89026,29312360,34386793,True
13,9.369146928798036,4435,5592,4829322,6044228,True
14,9.322301194154047,3006,4976,1991633,2527550,True
15,9.275689688183277,3066,4492,2126277,2619603,True
16,9.22931123974236,1454,3293,1288357,1621531,True
17,9.183164683543648,27439,29065,8801516,10519675,True
18,9.13724886012593,8101,9956,3672084,4662945,True
19,9.0915626158253,1318,2596,1821682,2251353,True
20,9.046104802746173,1169,2902,1883340,2283449,True
21,9.000874278732443,4049,4845,1642465,2037345,True
22,8.95586990733878,898,2203,1717258,2130837,True
23,8.911090557802085,4505,6422,10116910,12716424,True
24,8.866535105013075,1597,3360,3205378,3942697,True
25,8.822202429488009,2093,3737,5748631,7377123,True
26,8.778091417340569,1459,3051,851375,1059278,True
27,8.734200960253867,612,1526,801009,1025546,True
28,8.690529955452599,1043,3173,1823859,2346244,True
29,8.647077305675335,14164,16127,7227744,8396528,True
30,8.603841919146959,394,1828,888391,1133798,True
31,8.560822709551223,8706,10074,3900224,4755224,True
32,8.518018596003467,1205,3064,1766964,2257171,True
33,8.47542850302345,1184,2831,1353391,1678733,True
34,8.433051360508331,1115,2024,2008242,2529275,True
35,8.390886103705789,1085,3955,2591536,3340359,True
36,8.34893167318726,1814,3506,1978925,2520382,True
37,8.307187014821324,3636,5838,2747453,3386483,True
38,8.265651079747217,256,1821,814751,1025758,True
39,8.22432282434848,544,2324,807282,1030016,True
40,8.183201210226738,6652,8274,4746858,5617601,True
41,8.142285204175604,6500,8641,3284507,4031136,True
42,8.101573778154727,356,1644,940934,1171623,True
43,8.061065909263952,7493,9149,6410877,8217258,True
44,8.020760579717633,1030,2233,1256601,1588644,True
45,7.980656776819045,1460,3203,1861952,2327596,True
46,7.94075349293495,13673,15014,6217448,7158006,True
47,7.9010497254702745,9490,11939,4039906,5233676,True
48,7.861544476842923,9737,11683,3023544,3703631,True
49,7.822236754458708,10203,12595,13761434,16049751,True
50,7.783125570686415,1521,2937,2011262,2568426,True
51,7.744209942832983,466,1641,536956,666609,True
52,7.705488893118818,2143,3345,3452208,4005489,True
53,7.666961448653224,2738,4258,6500517,8365906,True
54,7.628626641409958,10329,11186,4164078,5317361,True
55,7.590483508202908,986,2256,2338750,3044841,True
56,7.552531090661893,3246,4105,1169855,1470282,True
57,7.514768435208584,32556,34198,10380437,12027098,True
58,7.477194593032541,22404,24634,7304303,8819391,True
59,7.439808620067378,76039,78452,18960708,24007999,True
60,7.402609576967041,4366,5730,4330260,5557978,True
61,7.365596529082206,2102,3316,5000082,6273304,True
62,7.328768546436795,798,2207,529833,711565,True
63,7.29212470370461,1356,2582,2765830,3430656,True
64,7.255664080186087,7205,8476,3443259,4215810,True
65,7.219385759785157,26466,28428,8206920,10065098,True
66,7.183288830986232,2674,4646,2934079,3530417,True
67,7.147372386831301,478,1182,339376,429264,True
68,7.111635524897144,3436,4657,1899242,2250918,True
69,7.076077347272658,903,1925,910054,1130616,True
70,7.0406969605362955,3487,4793,3248796,3894429,True
71,7.005493475733614,2291,5068,3000250,3635313,True
72,6.970466008354946,1157,2335,1608716,2000920,True
73,6.935613678313171,2430,4234,2529581,3233174,True
74,6.900935609921605,6784,8776,5672428,6778634,True
75,6.866430931871998,908,1829,832192,1043058,True
76,6.832098777212638,1432,3387,1549865,1921478,True
77,6.797938283326574,768,3225,2892462,3693373,True
78,6.763948591909941,51753,53718,26175941,30765705,True
79,6.7301288489503905,3821,6745,4367328,5553665,True
80,6.696478204705638,545,1659,1048317,1305794,True
81,6.66299581368211,9560,11392,4425219,5206443,True
83,6.5965324304406305,7760,10460,10531300,12716488,True
84,6.563549768288428,10401,12174,3950343,4864083,True
85,6.530732019446986,25298,26952,17617044,22359319,True
87,6.4655879675530015,6148,7838,2519282,3206892,True
88,6.433260027715236,1089,1968,614678,780582,True
89,6.40109372757666,10416,11208,2473452,2970796,True
90,6.369088258938777,7534,9592,2598768,3253836,True
91,6.337242817644083,6868,9116,11364959,14399285,True
92,6.305556603555862,6042,8175,6002279,7388793,True
93,6.274028820538083,6538,7752,6027122,7606710,True
94,6.242658676435393,1004,2043,747070,937393,True
95,6.211445383053215,4830,7574,9903172,12207816,True
96,6.1803881561379495,1568,2770,1467077,1798441,True
97,6.14948621535726,2028,3302,1356171,1679443,True
98,6.118738784280473,4998,6023,2137134,2652998,True
99,6.08814509035907,29032,31602,22706521,27783931,True
100,6.057704364907275,74936,76826,12742588,14830975,True
101,6.027415843082739,3574,5638,2888799,3581307,True
102,5.9972787638673255,53898,56386,23849868,27628257,True
103,5.967292370047989,8253,9514,4363297,5317845,True
104,5.937455908197749,2220,4265,1929803,2415070,True
105,5.90776862865676,13493,15408,8365370,9680823,True
106,5.878229785513477,662,1734,1670025,2074386,True
107,5.848838636585909,1365,2545,942706,1179592,True
108,5.81959444340298,2540,3929,1165010,1482107,True
109,5.790496471185965,3244,5244,3614635,4524823,True
110,5.761543988830035,4368,5524,2517527,3254970,True
111,5.732736268885885,2001,3688,1542311,1948731,True
112,5.7040725875414555,2906,4008,1322310,1637123,True
113,5.675552224603749,4896,6506,6076252,7490048,True
114,5.64717446348073,20238,22267,4974044,6056766,True
115,5.618938591163326,2458,4320,2719586,3423538,True
