iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,11,1.6363636363636365,85,0,15,0
1,14,1.2857142857142858,90,0,10,0
2,14,1.2857142857142858,91,0,9,0
3,17,1.0588235294117647,95,0,5,0
4,14,1.2857142857142858,88,0,12,0
5,15,1.2,91,0,9,0
6,16,1.125,93,0,7,0
7,16,1.125,92,0,8,0
8,17,1.0588235294117647,93,0,7,0
9,15,1.2,97,0,3,0
10,15,1.2,90,0,10,0
11,15,1.2,93,0,7,0
12,16,1.125,90,0,10,0
13,15,1.2,85,0,15,0
14,17,1.0588235294117647,94,0,6,0
15,14,1.2857142857142858,91,0,9,0
16,15,1.2,90,0,10,0
17,13,1.3846153846153846,91,0,9,0
18,13,1.3846153846153846,92,0,8,0
19,16,1.125,87,0,13,0
20,15,1.2,92,0,8,0
21,15,1.2,95,0,5,0
22,13,1.3846153846153846,89,0,11,0
23,12,1.5,86,0,14,0
24,13,1.3846153846153846,89,0,11,0
25,12,1.5,88,0,12,0
26,13,1.3846153846153846,89,0,11,0
27,15,1.2,94,0,6,0
28,15,1.2,88,0,12,0
29,14,1.2857142857142858,92,0,8,0
30,15,1.2,90,0,10,0
31,14,1.2857142857142858,86,0,14,0
32,13,1.3846153846153846,92,0,8,0
33,16,1.125,94,0,6,0
34,15,1.2,85,0,15,0
35,13,1.3846153846153846,93,0,7,0
36,17,1.0588235294117647,97,0,3,0
37,12,1.5,94,0,6,0
38,16,1.125,95,0,5,0
39,13,1.3846153846153846,87,0,13,0
40,11,1.6363636363636365,86,0,14,0
41,11,1.6363636363636365,89,0,11,0
42,17,1.0588235294117647,93,0,7,0
43,15,1.2,95,0,5,0
44,15,1.2,94,0,6,0
45,13,1.3846153846153846,90,0,10,0
46,13,1.3846153846153846,91,0,9,0
47,12,1.5,87,0,13,0
48,17,1.0588235294117647,92,0,8,0
49,16,1.125,89,0,11,0
50,14,1.2857142857142858,88,0,12,0
51,13,1.3846153846153846,93,0,7,0
52,16,1.125,89,0,11,0
53,16,1.125,92,0,8,0
54,15,1.2,89,0,11,0
55,15,1.2,92,0,8,0
56,17,1.0588235294117647,92,0,8,0
57,16,1.125,91,0,9,0
58,15,1.2,90,90,10,10
59,12,1.5,88,0,12,0
60,14,1.2857142857142858,91,0,9,0
61,12,1.5,89,0,11,0
62,13,1.3846153846153846,92,0,8,0
63,13,1.3846153846153846,89,0,11,0
64,7,2.5714285714285716,88,0,12,0
65,15,1.2,91,0,9,0
66,14,1.2857142857142858,93,0,7,0
67,9,2.0,82,0,18,0
68,10,1.8,92,0,8,0
69,17,1.0588235294117647,93,0,7,0
70,12,1.5,92,0,8,0
71,12,1.5,88,0,12,0
72,9,2.0,84,0,16,0
73,10,1.8,95,0,5,0
74,11,1.6363636363636365,89,0,11,0
75,9,2.0,88,0,12,0
76,13,1.3846153846153846,88,0,12,0
77,11,1.6363636363636365,85,0,15,0
78,14,1.2857142857142858,89,0,11,0
79,11,1.6363636363636365,91,0,9,0
80,13,1.3846153846153846,92,0,8,0
81,13,1.3846153846153846,92,0,8,0
82,11,1.6363636363636365,91,0,9,0
83,15,1.2,89,0,11,0
84,10,1.8,89,0,11,0
85,14,1.2857142857142858,92,0,8,0
86,11,1.6363636363636365,91,0,9,0
87,8,2.25,87,0,13,0
88,11,1.6363636363636365,95,0,5,0
89,11,1.6363636363636365,87,0,13,0
90,15,1.2,89,0,11,0
