iteration,temperature,throughput,cost,accepted
0,10.0,0,inf,False
1,9.95,0,inf,False
2,9.90025,0,inf,False
3,9.85074875,0,inf,False
4,9.801495006249999,0,inf,False
5,9.75248753121875,0,inf,False
6,9.703725093562655,0,inf,False
7,9.65520646809484,0,inf,False
8,9.606930435754366,2.239275476866057e-07,-2.239275476866057e-07,True
9,9.558895783575593,0,inf,False
10,9.511101304657716,0,inf,False
11,9.463545798134428,1.5053433535961706e-06,-1.5053433535961706e-06,True
12,9.416228069143756,0,inf,False
13,9.369146928798036,0,inf,False
14,9.322301194154047,0,inf,False
15,9.275689688183277,1.7491614574634216e-06,-1.7491614574634216e-06,True
16,9.22931123974236,0,inf,False
17,9.183164683543648,0,inf,False
18,9.13724886012593,4.483758034894399e-06,-4.483758034894399e-06,True
19,9.0915626158253,0,inf,False
20,9.046104802746173,0,inf,False
21,9.000874278732443,0,inf,False
22,8.95586990733878,0,inf,False
23,8.911090557802085,0,inf,False
24,8.866535105013075,0,inf,False
25,8.822202429488009,0,inf,False
26,8.778091417340569,0,inf,False
27,8.734200960253867,0,inf,False
28,8.690529955452599,5.34814863205656e-06,-5.34814863205656e-06,True
29,8.647077305675335,1.7437997999251303e-05,-1.7437997999251303e-05,True
30,8.603841919146959,0,inf,False
31,8.560822709551223,0,inf,False
32,8.518018596003467,0,inf,False
33,8.47542850302345,3.131179848214961e-06,-3.131179848214961e-06,True
34,8.433051360508331,0,inf,False
35,8.390886103705789,0,inf,False
36,8.34893167318726,0,inf,False
37,8.307187014821324,0,inf,False
38,8.265651079747217,0,inf,False
39,8.22432282434848,0,inf,False
40,8.183201210226738,0,inf,False
41,8.142285204175604,0,inf,False
42,8.101573778154727,0,inf,False
43,8.061065909263952,0,inf,False
44,8.020760579717633,0,inf,False
45,7.980656776819045,0,inf,False
46,7.94075349293495,0,inf,False
47,7.9010497254702745,2.2418790174471992e-07,-2.2418790174471992e-07,True
48,7.861544476842923,0,inf,False
49,7.822236754458708,0,inf,False
50,7.783125570686415,0,inf,False
51,7.744209942832983,0,inf,False
52,7.705488893118818,0,inf,False
53,7.666961448653224,0,inf,False
54,7.628626641409958,0,inf,False
55,7.590483508202908,4.328034830466223e-06,-4.328034830466223e-06,True
56,7.552531090661893,0,inf,False
57,7.514768435208584,0,inf,False
58,7.477194593032541,0,inf,False
59,7.439808620067378,0,inf,False
60,7.402609576967041,0,inf,False
61,7.365596529082206,5.604697543617999e-07,-5.604697543617999e-07,True
62,7.328768546436795,0,inf,False
63,7.29212470370461,1.1188172317570608e-07,-1.1188172317570608e-07,True
64,7.255664080186087,0,inf,False
65,7.219385759785157,0,inf,False
66,7.183288830986232,8.328306332929503e-06,-8.328306332929503e-06,True
67,7.147372386831301,0,inf,False
68,7.111635524897144,0,inf,False
69,7.076077347272658,0,inf,False
70,7.0406969605362955,0,inf,False
71,7.005493475733614,0,inf,False
72,6.970466008354946,0,inf,False
73,6.935613678313171,0,inf,False
74,6.900935609921605,0,inf,False
75,6.866430931871998,0,inf,False
76,6.832098777212638,0,inf,False
77,6.797938283326574,8.84151155100382e-06,-8.84151155100382e-06,True
78,6.763948591909941,0,inf,False
79,6.7301288489503905,8.340440048539527e-07,-8.340440048539527e-07,True
80,6.696478204705638,0,inf,False
81,6.66299581368211,1.0429348754752445e-06,-1.0429348754752445e-06,True
82,6.6296808346136995,0,inf,False
83,6.5965324304406305,0,inf,False
84,6.563549768288428,0,inf,False
85,6.530732019446986,0,inf,False
86,6.49807835934975,2.1455145580323415e-06,-2.1455145580323415e-06,True
87,6.4655879675530015,1.6678316123013674e-06,-1.6678316123013674e-06,True
88,6.433260027715236,0,inf,False
