iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,5,1.0,92,0,8,0
1,4,1.25,94,0,6,0
2,3,1.6666666666666667,91,0,9,0
3,1,5.0,90,0,10,0
4,3,1.6666666666666667,91,91,9,9
5,1,5.0,91,0,9,0
6,3,1.6666666666666667,94,94,6,6
7,3,1.6666666666666667,91,0,9,0
8,1,5.0,91,0,9,0
9,5,1.0,85,0,15,0
10,3,1.6666666666666667,85,0,15,0
11,4,1.25,96,96,4,4
12,4,1.25,93,0,7,0
13,1,5.0,87,0,13,0
14,1,5.0,85,0,15,0
15,3,1.6666666666666667,95,0,5,0
16,1,5.0,90,0,10,0
17,2,2.5,86,86,14,14
18,3,1.6666666666666667,84,0,16,0
19,3,1.6666666666666667,87,0,13,0
20,3,1.6666666666666667,91,0,9,0
21,1,5.0,91,0,9,0
22,4,1.25,90,0,10,0
23,2,2.5,95,95,5,5
24,2,2.5,92,0,8,0
25,1,5.0,89,0,11,0
26,1,5.0,86,0,14,0
27,2,2.5,93,0,7,0
28,3,1.6666666666666667,88,88,12,12
29,2,2.5,83,0,17,0
30,1,5.0,89,0,11,0
31,2,2.5,81,0,19,0
32,2,2.5,93,0,7,0
33,5,1.0,91,0,9,0
34,2,2.5,91,0,9,0
35,5,1.0,93,93,7,7
36,2,2.5,86,0,14,0
37,2,2.5,87,0,13,0
38,3,1.6666666666666667,94,0,6,0
39,4,1.25,96,0,4,0
40,1,5.0,89,0,11,0
41,4,1.25,92,0,8,0
42,4,1.25,90,0,10,0
43,2,2.5,94,0,6,0
44,4,1.25,90,90,10,10
45,4,1.25,87,0,13,0
46,3,1.6666666666666667,92,0,8,0
47,2,2.5,92,0,8,0
48,3,1.6666666666666667,88,0,12,0
49,3,1.6666666666666667,90,0,10,0
50,1,5.0,87,0,13,0
51,1,5.0,90,0,10,0
52,2,2.5,90,90,10,10
53,2,2.5,88,0,12,0
54,2,2.5,89,0,11,0
55,3,1.6666666666666667,90,0,10,0
56,3,1.6666666666666667,91,0,9,0
57,1,5.0,93,0,7,0
58,1,5.0,92,0,8,0
59,1,5.0,93,0,7,0
60,2,2.5,91,0,9,0
61,1,5.0,93,0,7,0
62,3,1.6666666666666667,95,0,5,0
63,2,2.5,91,0,9,0
64,2,2.5,86,86,14,14
65,4,1.25,92,0,8,0
66,2,2.5,90,0,10,0
67,2,2.5,94,0,6,0
68,4,1.25,89,0,11,0
69,3,1.6666666666666667,92,0,8,0
70,1,5.0,91,91,9,9
71,1,5.0,88,0,12,0
72,3,1.6666666666666667,92,0,8,0
73,2,2.5,82,0,18,0
