iteration,temperature,dsp,bram,lut,ff,violation
0,20.0,1000,1636,164450,190078,True
1,19.9,1289,2299,356363,397881,True
2,19.8005,394,912,114229,133280,True
3,19.7014975,3208,3846,380532,447482,True
4,19.602990012499998,87,490,112966,134175,True
5,19.5049750624375,272,1246,382324,460546,True
6,19.40745018712531,4248,5138,540067,638142,True
7,19.31041293618968,251,686,46691,52995,True
8,19.213860871508732,754,1334,332600,403853,True
10,19.022202609315432,394,906,113211,131628,True
11,18.927091596268856,15587,16105,425957,487309,True
12,18.83245613828751,350,2214,778572,941167,True
13,18.738293857596073,601,1049,174597,201369,True
14,18.644602388308094,568,2400,480631,567441,True
15,18.551379376366555,152,786,352212,416346,True
16,18.45862247948472,476,970,223994,268667,True
17,18.366329367087296,6415,7368,895208,1082678,True
18,18.27449772025186,664,1376,227829,267038,True
19,18.1831252316506,920,1822,907291,1065262,True
20,18.092209605492346,18104,20054,1880247,2265872,True
21,18.001748557464886,451,959,194776,233904,True
22,17.91173981467756,227,2062,492220,582315,True
23,17.82218111560417,233,1936,502690,597046,True
24,17.73307021002615,3930,4450,211587,254612,True
25,17.644404858976017,214,1373,236144,267475,True
26,17.556182834681138,806,1388,470370,560202,True
27,17.468401920507734,17264,18758,1958301,2300189,True
28,17.381059910905197,30984,32938,2874903,3414384,True
30,17.207683838293917,354,822,99039,116048,True
31,17.121645419102446,1380,1998,343572,416103,True
32,17.036037192006933,2598,2974,120377,142745,True
33,16.9508570060469,5142,6304,2341308,2690199,True
34,16.866102721016663,496,1410,695083,819846,True
35,16.781772207411578,3472,4803,1463381,1671890,True
36,16.69786334637452,127,1978,610325,726477,True
38,16.531302159494434,684,1917,518696,592817,True
39,16.44864564869696,56394,58244,4414860,5062122,True
40,16.366402420453475,2110,4114,4349841,4987237,True
41,16.284570408351208,9064,10314,1165047,1401773,True
43,16.122131818527905,404,1034,268970,323086,True
44,16.041521159435266,238,550,74511,89045,True
45,15.96131355363809,2928,4049,442239,519402,True
47,15.802099450940549,7768,9718,1880247,2265872,True
48,15.723088953685846,294,1447,752223,858270,True
49,15.644473508917416,2944,4275,1070453,1250674,True
51,15.488419885665966,1756,2438,353013,419446,True
52,15.410977786237636,563,931,103656,124725,True
53,15.333922897306447,12888,14838,1880247,2265872,True
54,15.257253282819915,58,664,234712,283053,True
55,15.180967016405816,1060,1426,136355,162191,True
56,15.105062181323786,1617,2276,274456,319583,True
57,15.029536870417168,764,1258,223994,268667,True
58,14.954389186065082,25723,27408,2552533,2918601,True
59,14.879617240134756,862,1238,158619,188107,True
60,14.805219153934082,1260,2481,518696,592817,True
61,14.731193058164411,398,852,286289,339540,True
62,14.65753709287359,878,1284,185178,223695,True
63,14.58424940740922,3428,4142,431028,512999,True
