iteration,temperature,dsp,bram,lut,ff,violation
0,20.0,2478,4871,3655095,4308380,True
1,19.9,1512,3496,2885473,3543259,True
2,19.8005,44011,47492,19974667,23206566,True
3,19.7014975,718,3207,2739918,3384135,True
4,19.602990012499998,3387,7309,8432163,10244609,True
5,19.5049750624375,5567,7515,3484182,4171569,True
6,19.40745018712531,845,4057,2587994,3181111,True
7,19.31041293618968,4882,7641,7395461,9016344,True
8,19.213860871508732,950,3533,1889355,2319026,True
9,19.117791567151187,13238,16462,11510962,13535800,True
10,19.022202609315432,10150,13930,10064083,12212982,True
11,18.927091596268856,7944,9806,3060267,3736352,True
12,18.83245613828751,2594,5524,4245264,5148500,True
13,18.738293857596073,1720,3875,3705965,4390865,True
14,18.644602388308094,3159,5867,7780785,9292769,True
15,18.551379376366555,2522,4793,3042998,3781225,True
16,18.45862247948472,7303,10566,6660614,7864460,True
17,18.366329367087296,11996,14805,5609674,6925825,True
18,18.27449772025186,2153,4137,2325183,2766644,True
19,18.1831252316506,3988,7636,8660720,10531911,True
20,18.092209605492346,3401,6897,4382789,5466079,True
21,18.001748557464886,2893,5136,2527431,3026226,True
22,17.91173981467756,4885,7478,4288282,5206577,True
23,17.82218111560417,1153,2772,1581589,1932738,True
24,17.73307021002615,10496,14616,13494476,15927975,True
25,17.644404858976017,1685,4627,2021489,2452420,True
26,17.556182834681138,1902,5284,2809126,3484530,True
27,17.468401920507734,455,2556,1481831,1823741,True
28,17.381059910905197,2083,4373,1861933,2249428,True
29,17.29415461135067,902,3181,1930912,2353822,True
30,17.207683838293917,9515,12379,12653968,14921677,True
31,17.121645419102446,8452,11118,13209238,15489878,True
32,17.036037192006933,3064,6288,3657006,4506951,True
33,16.9508570060469,6108,9019,5859174,7172462,True
34,16.866102721016663,900,3500,1744239,2156744,True
35,16.781772207411578,8075,11309,12191977,14685222,True
36,16.69786334637452,13200,15740,10020067,11708945,True
37,16.614374029642647,748,2776,1717279,2106299,True
38,16.531302159494434,3019,6361,6733732,7968828,True
39,16.44864564869696,2942,5590,5326983,6374917,True
40,16.366402420453475,1689,5286,5054589,6173906,True
41,16.284570408351208,1148,3148,1469811,1812443,True
42,16.203147556309453,1686,5179,3500775,4355960,True
43,16.122131818527905,2849,4737,4235359,5031188,True
44,16.041521159435266,2575,5948,3022179,3741377,True
45,15.96131355363809,2816,5533,6368341,7641188,True
46,15.8815069858699,9621,12303,12573626,14697431,True
47,15.802099450940549,3295,6286,7436783,9001813,True
48,15.723088953685846,21905,26160,11083510,13491440,True
49,15.644473508917416,1038,3357,1265953,1518679,True
50,15.56625114137283,4393,7107,3730557,4516271,True
51,15.488419885665966,1925,5065,5001428,6111390,True
52,15.410977786237636,8771,11612,7149314,8791889,True
53,15.333922897306447,2795,5727,3451570,4285831,True
54,15.257253282819915,3157,5259,2508427,3002691,True
55,15.180967016405816,662,2562,1362255,1678677,True
56,15.105062181323786,8307,12702,14793472,17534180,True
57,15.029536870417168,2140,4941,1871159,2268436,True
58,14.954389186065082,1522,4349,2387183,2857691,True
59,14.879617240134756,3690,6343,4024827,4765729,True
60,14.805219153934082,13820,16469,10644791,12436930,True
61,14.731193058164411,13073,16380,10658692,12451429,True
62,14.65753709287359,27666,30919,17809882,21004722,True
63,14.58424940740922,19643,22734,13428334,16053454,True
64,14.511328160372175,15343,18433,11506735,13458285,True
65,14.438771519570315,4195,7023,4021930,4814356,True
66,14.366577661972464,1037,2716,879402,1087677,True
67,14.294744773662602,2728,5238,4653388,5641634,True
68,14.223271049794288,9349,12475,11861216,13943933,True
69,14.152154694545317,12477,15529,5785074,6881196,True
70,14.081393921072591,5218,8973,10876377,13056464,True
71,14.010986951467228,1233,3035,925544,1121791,True
72,13.940932016709892,9973,14527,21214606,24673860,True
73,13.871227356626342,3572,5861,3237889,3964187,True
74,13.80187121984321,1649,4691,4371880,5305427,True
75,13.732861863743995,2836,6054,7373269,8847253,True
76,13.664197554425275,2208,4730,3570646,4402181,True
77,13.595876566653148,2837,5941,5472479,6549040,True
78,13.527897183819881,1229,3502,2042008,2512295,True
