iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,33,1.121212121212121,93,0,7,0
1,32,1.15625,89,0,11,0
2,30,1.2333333333333334,89,0,11,0
3,34,1.088235294117647,92,0,8,0
4,29,1.2758620689655173,90,0,10,0
5,32,1.15625,89,0,11,0
6,35,1.0571428571428572,89,0,11,0
7,30,1.2333333333333334,84,0,16,0
8,35,1.0571428571428572,91,0,9,0
9,32,1.15625,88,0,12,0
10,33,1.121212121212121,87,0,13,0
11,33,1.121212121212121,93,0,7,0
12,29,1.2758620689655173,90,0,10,0
13,34,1.088235294117647,87,0,13,0
14,36,1.0277777777777777,91,0,9,0
15,32,1.15625,89,0,11,0
16,31,1.1935483870967742,90,0,10,0
17,34,1.088235294117647,93,0,7,0
18,31,1.1935483870967742,94,0,6,0
19,25,1.48,81,0,19,0
20,31,1.1935483870967742,87,0,13,0
21,31,1.1935483870967742,89,0,11,0
22,34,1.088235294117647,92,0,8,0
23,31,1.1935483870967742,85,0,15,0
24,35,1.0571428571428572,93,0,7,0
25,32,1.15625,89,0,11,0
26,34,1.088235294117647,92,0,8,0
27,30,1.2333333333333334,87,0,13,0
28,33,1.121212121212121,89,0,11,0
29,33,1.121212121212121,93,0,7,0
30,31,1.1935483870967742,90,0,10,0
31,36,1.0277777777777777,87,0,13,0
32,29,1.2758620689655173,87,0,13,0
33,35,1.0571428571428572,89,0,11,0
34,32,1.15625,91,0,9,0
35,35,1.0571428571428572,96,0,4,0
36,34,1.088235294117647,93,0,7,0
37,30,1.2333333333333334,88,0,12,0
38,30,1.2333333333333334,89,0,11,0
39,32,1.15625,91,0,9,0
40,33,1.121212121212121,93,0,7,0
41,33,1.121212121212121,95,0,5,0
42,32,1.15625,91,0,9,0
43,31,1.1935483870967742,89,0,11,0
44,32,1.15625,93,0,7,0
45,29,1.2758620689655173,87,0,13,0
46,33,1.121212121212121,91,0,9,0
47,34,1.088235294117647,89,0,11,0
48,34,1.088235294117647,89,0,11,0
49,34,1.088235294117647,92,0,8,0
50,34,1.088235294117647,92,0,8,0
51,27,1.3703703703703705,83,0,17,0
